date,curah_hujan,kecamatan
20200718,1.42,Lhoksukon
20200719,1.35,Lhoksukon
20200720,1.15,Lhoksukon
20200721,14.35,Lhoksukon
20200722,4.75,Lhoksukon
20200723,5.67,Lhoksukon
20200724,1.97,Lhoksukon
20200725,2.7,Lhoksukon
20200726,29.53,Lhoksukon
20200727,20.02,Lhoksukon
20200728,35.26,Lhoksukon
20200729,3.8,Lhoksukon
20200730,3.45,Lhoksukon
20200731,2.75,Lhoksukon
20200801,3.0,Lhoksukon
20200802,1.27,Lhoksukon
20200803,2.52,Lhoksukon
20200804,0.44,Lhoksukon
20200805,0.38,Lhoksukon
20200806,0.2,Lhoksukon
20200807,0.34,Lhoksukon
20200808,2.42,Lhoksukon
20200809,0.59,Lhoksukon
20200810,3.15,Lhoksukon
20200811,1.37,Lhoksukon
20200812,1.82,Lhoksukon
20200813,3.72,Lhoksukon
20200814,0.14,Lhoksukon
20200815,0.25,Lhoksukon
20200816,0.13,Lhoksukon
20200817,0.28,Lhoksukon
20200818,3.7,Lhoksukon
20200819,0.91,Lhoksukon
20200820,2.0,Lhoksukon
20200821,1.2,Lhoksukon
20200822,0.97,Lhoksukon
20200823,3.32,Lhoksukon
20200824,3.3,Lhoksukon
20200825,1.59,Lhoksukon
20200826,0.68,Lhoksukon
20200827,1.26,Lhoksukon
20200828,2.51,Lhoksukon
20200829,4.42,Lhoksukon
20200830,0.73,Lhoksukon
20200831,12.29,Lhoksukon
20200901,12.67,Lhoksukon
20200902,2.94,Lhoksukon
20200903,4.56,Lhoksukon
20200904,2.74,Lhoksukon
20200905,4.29,Lhoksukon
20200906,4.64,Lhoksukon
20200907,2.93,Lhoksukon
20200908,5.58,Lhoksukon
20200909,5.06,Lhoksukon
20200910,6.54,Lhoksukon
20200911,3.22,Lhoksukon
20200912,3.53,Lhoksukon
20200913,3.0,Lhoksukon
20200914,3.77,Lhoksukon
20200915,4.71,Lhoksukon
20200916,2.52,Lhoksukon
20200917,2.31,Lhoksukon
20200918,4.12,Lhoksukon
20200919,3.18,Lhoksukon
20200920,4.39,Lhoksukon
20200921,3.97,Lhoksukon
20200922,0.62,Lhoksukon
20200923,1.63,Lhoksukon
20200924,26.57,Lhoksukon
20200925,2.8,Lhoksukon
20200926,2.78,Lhoksukon
20200927,0.75,Lhoksukon
20200928,0.92,Lhoksukon
20200929,3.85,Lhoksukon
20200930,3.44,Lhoksukon
20201001,9.02,Lhoksukon
20201002,3.27,Lhoksukon
20201003,2.03,Lhoksukon
20201004,8.23,Lhoksukon
20201005,1.47,Lhoksukon
20201006,5.56,Lhoksukon
20201007,7.59,Lhoksukon
20201008,1.96,Lhoksukon
20201009,1.24,Lhoksukon
20201010,8.01,Lhoksukon
20201011,7.47,Lhoksukon
20201012,18.82,Lhoksukon
20201013,18.92,Lhoksukon
20201014,4.36,Lhoksukon
20201015,7.81,Lhoksukon
20201016,2.21,Lhoksukon
20201017,5.51,Lhoksukon
20201018,2.05,Lhoksukon
20201019,15.7,Lhoksukon
20201020,12.62,Lhoksukon
20201021,2.72,Lhoksukon
20201022,3.36,Lhoksukon
20201023,11.21,Lhoksukon
20201024,3.9,Lhoksukon
20201025,7.29,Lhoksukon
20201026,2.05,Lhoksukon
20201027,1.67,Lhoksukon
20201028,1.74,Lhoksukon
20201029,3.28,Lhoksukon
20201030,2.73,Lhoksukon
20201031,3.61,Lhoksukon
20201101,1.5,Lhoksukon
20201102,4.09,Lhoksukon
20201103,5.63,Lhoksukon
20201104,5.15,Lhoksukon
20201105,0.7,Lhoksukon
20201106,41.94,Lhoksukon
20201107,10.46,Lhoksukon
20201108,5.29,Lhoksukon
20201109,6.8,Lhoksukon
20201110,5.36,Lhoksukon
20201111,4.12,Lhoksukon
20201112,4.14,Lhoksukon
20201113,25.28,Lhoksukon
20201114,8.0,Lhoksukon
20201115,5.63,Lhoksukon
20201116,3.03,Lhoksukon
20201117,6.31,Lhoksukon
20201118,43.38,Lhoksukon
20201119,5.82,Lhoksukon
20201120,6.14,Lhoksukon
20201121,11.24,Lhoksukon
20201122,19.88,Lhoksukon
20201123,6.83,Lhoksukon
20201124,5.01,Lhoksukon
20201125,5.98,Lhoksukon
20201126,41.99,Lhoksukon
20201127,9.26,Lhoksukon
20201128,16.84,Lhoksukon
20201129,3.98,Lhoksukon
20201130,1.98,Lhoksukon
20201201,18.75,Lhoksukon
20201202,33.5,Lhoksukon
20201203,4.52,Lhoksukon
20201204,95.16,Lhoksukon
20201205,48.48,Lhoksukon
20201206,9.09,Lhoksukon
20201207,4.06,Lhoksukon
20201208,1.91,Lhoksukon
20201209,0.45,Lhoksukon
20201210,7.42,Lhoksukon
20201211,5.19,Lhoksukon
20201212,19.79,Lhoksukon
20201213,11.18,Lhoksukon
20201214,8.02,Lhoksukon
20201215,13.27,Lhoksukon
20201216,23.15,Lhoksukon
20201217,9.08,Lhoksukon
20201218,2.5,Lhoksukon
20201219,4.42,Lhoksukon
20201220,14.12,Lhoksukon
20201221,12.92,Lhoksukon
20201222,6.79,Lhoksukon
20201223,0.63,Lhoksukon
20201224,0.98,Lhoksukon
20201225,5.35,Lhoksukon
20201226,28.98,Lhoksukon
20201227,1.17,Lhoksukon
20201228,2.6,Lhoksukon
20201229,1.2,Lhoksukon
20201230,0.75,Lhoksukon
20201231,1.78,Lhoksukon
20210101,11.77,Lhoksukon
20210102,21.0,Lhoksukon
20210103,15.87,Lhoksukon
20210104,15.89,Lhoksukon
20210105,9.22,Lhoksukon
20210106,2.35,Lhoksukon
20210107,2.4,Lhoksukon
20210108,2.34,Lhoksukon
